UID,Service,Count
103,Roti's,1
103,Main Course,1
103,Eggs & Fresh Meat,1
144,Veg curries,6
144,Toys,2
144,Tiffins,4
144,Sweets & Namkeen,6
144,Starters,19
144,Sports,3
144,Soups,1
144,Snacks,2
144,Sandwiches,1
144,Safety Equipment,1
144,Roti's,3
144,Rice Items,3
144,Quick Bites,3
144,Pooja Needs,4
144,Pizza,2
144,Pickles & Masalas,5
144,Non veg curries,4
144,Mineral Water,3
144,Main Course,3
144,Ice-cream,2
144,Groceries,12
144,Fruits & Vegetables,13
144,Eggs & Fresh Meat,12
144,Dry Fruits,6
144,Diagnostics,4
144,Dal,1
144,Curries,1
144,Combos,1
144,Breads & Cakes,11
144,Bouquets,1
144,Books & Stationery,1
144,Biryani's,1
159,Groceries,1
159,Eggs & Fresh Meat,2
175,Sweets & Namkeen,2
176,Toys,1
176,Tiffins,4
176,Tea,1
176,Sweets & Namkeen,17
176,Safety Equipment,4
176,Roti's,5
176,Pooja Needs,5
176,Pizza,1
176,Pickles & Masalas,5
176,Pets,1
176,Ladies Corner,1
176,Ice-cream,12
176,Groceries,12
176,Fruits & Vegetables,19
176,Fast Foods,1
176,Eggs & Fresh Meat,11
176,ECO Products,3
176,Dry Fruits,1
176,Diagnostics,3
176,Dairy Products,4
176,Curries,4
176,Burgers,4
176,Breads & Cakes,15
176,Bouquets,1
176,Books & Stationery,9
176,Batter,4
177,Tiffins,1
177,Sweets & Namkeen,30
177,Starters,11
177,Snacks,5
177,Roti's,2
177,Rice Items,2
177,Pooja Needs,17
177,Pizza,3
177,Party Menu,3
177,Mineral Water,1
177,Main Course,4
177,Ice-cream,2
177,Groceries,50
177,Fruits & Vegetables,133
177,Festival Stores,3
177,Eggs & Fresh Meat,31
177,Dry Fruits,3
177,Desserts,3
177,Dairy Products,12
177,Curries,2
177,Burgers,4
177,Breads & Cakes,6
177,Books & Stationery,10
177,Batter,6
178,Fruits & Vegetables,2
178,Eggs & Fresh Meat,1
180,Veg curries,2
180,Toys,1
180,Tiffins,10
180,Tea,5
180,Sweets & Namkeen,84
180,Starters,19
180,Sports,1
180,Soups,1
180,Snacks,16
180,Salads,1
180,Safety Equipment,4
180,Roti's,8
180,Rice Items,12
180,Quick Bites,6
180,Pooja Needs,125
180,Plant & Seeds,3
180,Pizza,1
180,Pickles & Powders,2
180,Pickles & Masalas,16
180,Pasta,6
180,Packing Material,1
180,Non veg curries,2
180,News Paper & Magazines,2
180,Mineral Water,28
180,Main Course,6
180,Indian Breads,1
180,Ice-cream,8
180,Health Foods,12
180,Groceries,190
180,Fruits & Vegetables,349
180,Fried Rice,4
180,Festival Stores,15
180,Fast Foods,10
180,Eggs & Fresh Meat,16
180,ECO Products,17
180,Dry Fruits,14
180,Diagnostics,1
180,Desserts,3
180,Dairy Products,20
180,Curries,12
180,Combos,21
180,Chaat's,7
180,Breads & Cakes,12
180,Books & Stationery,10
180,Biryani's,4
180,Beverages,10
180,Batter,31
181,Eggs & Fresh Meat,3
182,Sweets & Namkeen,1
182,Main Course,1
182,Fast Foods,1
182,Curries,2
182,Chaat's,2
183,Tea,1
183,Sweets & Namkeen,15
183,Starters,1
183,Snacks,2
183,Safety Equipment,6
183,Rice Items,2
183,Pooja Needs,4
183,Pickles & Masalas,3
183,Non veg curries,2
183,Ice-cream,9
183,Groceries,16
183,Fruits & Vegetables,242
183,Festival Stores,1
183,Eggs & Fresh Meat,37
183,ECO Products,7
183,Dairy Products,1
183,Curries,2
183,Combos,1
183,Breads & Cakes,3
183,Books & Stationery,1
183,Biryani's,2
183,Beverages & Juices,7
185,Snacks,5
185,Roti's,17
185,Plant & Seeds,1
185,Groceries,1
185,Fruits & Vegetables,15
185,Desserts,1
185,Curries,16
185,Combos,10
185,Chaat's,5
198,Eggs & Fresh Meat,1
198,Dry Fruits,3
200,Sweets & Namkeen,2
200,Plant & Seeds,9
200,Fruits & Vegetables,1
200,Eggs & Fresh Meat,1
203,Sports,1
203,Snacks,3
203,Roti's,5
203,Pooja Needs,3
203,Main Course,2
203,Fruits & Vegetables,16
203,Eggs & Fresh Meat,1
203,Dairy Products,5
203,Chaat's,2
203,Cakes,1
203,Breads & Cakes,2
205,Tiffins,3
205,Sweets & Namkeen,27
205,Snacks,4
205,Roti's,4
205,Pooja Needs,18
205,Plant & Seeds,4
205,News Paper & Magazines,4
205,Groceries,2
205,Fruits & Vegetables,18
205,Combos,2
205,Breads & Cakes,1
205,Books & Stationery,3
206,Groceries,2
209,Sweets & Namkeen,8
209,Starters,4
209,Roti's,3
209,Plant & Seeds,23
209,Groceries,6
209,Fruits & Vegetables,44
209,Eggs & Fresh Meat,1
209,Dry Fruits,3
209,Breads & Cakes,15
210,Sweets & Namkeen,2
210,Pooja Needs,1
210,Packing Material,22
210,Groceries,2
210,Fruits & Vegetables,14
210,Breads & Cakes,1
211,Sweets & Namkeen,4
211,Starters,4
